Name,Price,Category
"Hollandrad Altec ``URBAN`` 28 Zoll, 1 Gang, Rh. 57 cm Damenrad Fahrrad Transportrad /schwarz/","299,00 EUR",Hollandräder
"Herren Nostalgie Hollandrad ``Avalon`` 28 Zoll, 1 Gang,  Rh.: 61 cm /schwarz/","299,00 EUR",Hollandräder
"Nostalgie Hollandrad ``Avalon`` Damen 28 Zoll, Rh 57 cm, 1 Gang /türkis/","299,00 EUR",Hollandräder
"Nostalgie Hollandrad ``Avalon`` Damen 28 Zoll, Rh 57 cm, 1 Gang /weiß/","299,00 EUR",Hollandräder
"Nostalgie Hollandrad ``Avalon`` Damen 28 Zoll, Rh 57 cm, 1 Gang /schw-matt/","299,00 EUR",Hollandräder
"Nostalgie Hollandrad ``Avalon`` Damen 28 Zoll, Rh 57 cm, 1 Gang /schwarz glanz/","299,00 EUR",Hollandräder
"Nostalgie Hollandrad Avalon ``Basic`` Damen 28 Zoll, Rh 57 cm, 1 Gang /schw-glanz/","299,00 EUR",Hollandräder
"Hollandrad Altec ``URBAN`` 28 Zoll, 1 Gang, Rh. 57 cm Damenrad Fahrrad Transportrad 2020 /grau-pink/","299,00 EUR",Hollandräder
"Hollandrad Altec ``URBAN`` 28 Zoll, 1 Gang, Rh. 57 cm Damenrad Fahrrad Transportrad /lila/","299,00 EUR",Hollandräder
"Hollandrad Altec ``URBAN`` 28 Zoll, 1 Gang, Rh. 50 cm Damenrad Fahrrad Transportrad /mint/","299,00 EUR",Hollandräder
"Hollandrad ALTEC ``Roma`` Omafietsen 28 Zoll, 61 cm, 1 Gang /schwarz matt/","299,00 EUR",Hollandräder
"Hollandrad ALTEC ``Roma`` Opafietsen 28 Zoll, 61cm, 1 Gang /jeans blau matt/","299,00 EUR",Hollandräder
"Herren Nostalgie Hollandrad ``Avalon`` 28 Zoll Rh.: 57 cm, 1 Gang /schwarz/","299,00 EUR",Hollandräder
"Herren Nostalgie Hollandrad ``Avalon`` 28 Zoll Rh.: 65 cm, 1 Gang, schwarz","299,00 EUR",Hollandräder
"Hollandrad Altec ``URBAN`` 28 Zoll, 1 Gang, Rh. 50 cm Damenrad Fahrrad Transportrad /lila/","299,00 EUR",Hollandräder
"Hollandrad Altec ``URBAN`` 28 Zoll, 1 Gang, Rh. 57 cm Damenrad Fahrrad Transportrad /gold/","299,00 EUR",Hollandräder
Herren Nostalgie Hollandrad Altec ``Urban`` 28 Zoll Rh.55 Cm /amee grün/,"299,00 EUR",Hollandräder
Herren Nostalgie Hollandrad Altec ``Urban`` 28 Zoll Rh.55 Cm /amee grün/,"299,00 EUR",Hollandräder
Herren Nostalgie Hollandrad Altec ``Urban`` 28 Zoll Rh. 63 Cm /schwarz/,"299,00 EUR",Hollandräder
"Hollandrad Altec ``URBAN`` 28 Zoll, 1 Gang, Rh. 57cm Damenrad Fahrrad Transportrad /army/","299,00 EUR",Hollandräder
Volare Dolce Mädchenfahrrad 24 Zoll weiß,"299,00 EUR",Hollandräder
"Hollandrad Altec ``URBAN`` 28 Zoll, 1 Gang, Rh. 53 cm Damenrad Fahrrad Transportrad /aqua/","299,00 EUR",Hollandräder
"Hollandrad Altec ``URBAN`` 28 Zoll, 1 Gang, Rh. 53 cm Damenrad Fahrrad Transportrad /rot/","299,00 EUR",Hollandräder
"Hollandrad Altec ``URBAN`` 28 Zoll, 1 Gang, Rh. 53 cm Damenrad Fahrrad Transportrad /hellblau/","299,00 EUR",Hollandräder
"Hollandrad Altec ``URBAN`` 28 Zoll, 1 Gang, Rh. 50 cm Damenrad Fahrrad Transportrad /armee-grün/ Model 2019","299,00 EUR",Hollandräder
Herren Nostalgie Hollandrad Altec ``Urban`` 28 Zoll Rh. 55 Cm /schwarz/,"299,00 EUR",Hollandräder
"Hollandrad Altec ``URBAN`` 28 Zoll, 1 Gang, Rh. 50 cm Damenrad Fahrrad Transportrad /warm grau/","299,00 EUR",Hollandräder
"Damen Hollandrad Popal ``Carrier`` 1 Gang,  28 Zoll, 50cm Rücktritt /schwarz/","329,00 EUR",Hollandräder
"Nostalgie Damen Hollandrad ``Avalon`` 3 Gang 28 Zoll, Rh 57cm /schwarz/","329,00 EUR",Hollandräder
"Nostalgie Damen Hollandrad ``Avalon`` 3 Gang 28 Zoll, Rh 50cm /schwarz/","329,00 EUR",Hollandräder
"Damen Hollandrad Popal ``Carrier`` 1 Gang,  28 Zoll, 57 cm Rücktritt /schwarz/","329,00 EUR",Hollandräder
"Hollandrad DE VRIES Nostalgierad 3 Gg. schwarz, 28 Zoll, 55 cm Batteriebeleuchtung","330,00 EUR",Hollandräder
"Herren Nostalgie Hollandrad ``Avalon`` 28 Zoll Rh.: 57 cm, 3 Gang /schwarz/","349,00 EUR",Hollandräder
"Nostalgie Damen Hollandrad ``Avalon`` 3 Gang 28 Zoll, Rh 57cm inkl Felgenbremse /schwarz/","349,00 EUR",Hollandräder
"Damen Hollandrad ALTEC ``LOVE`` 28 Zoll, 3 Gang, 53 cm  Rollenbremse /weiß/","349,00 EUR",Hollandräder
"Nostalgie Damen Hollandrad ``Avalon`` 3 Gang 28 Zoll, Rh 50cm inkl Felgenbremse /schwarz/","349,00 EUR",Hollandräder
"Herren Nostalgie Hollandrad ``Avalon`` 28 Zoll Rh.: 61 cm, 3 Gang /schwarz/","349,00 EUR",Hollandräder
"Herren Nostalgie Hollandrad ``Avalon`` 28 Zoll Rh.: 65 cm, 3 Gang /schwarz/","349,00 EUR",Hollandräder
"Hollandrad ""De Vries"" Nostalgierad Nabendynamo 3 Gg. schwarz, 28 Zoll, 48 cm","350,00 EUR",Hollandräder
"Damen Hollandrad ALTEC ``Dutch`` 28 Zoll, 3 Gang, 53 cm  /creme/","369,00 EUR",Hollandräder
"Hollandrad Altec ``DUTCH`` 28 Zoll, 3 Gang, Rh. 53 cm Damenrad Fahrrad Transportrad /Azure/","369,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 50 cm /Oak Red/ Modell 2020","369,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic Plus`` 26 Zoll, 48 cm 3 Gang /schwarz/","369,00 EUR",Hollandräder
"Damen Hollandrad ALTEC ``Dutch`` 28 Zoll, 3 Gang, 53 cm  /weiß/","369,00 EUR",Hollandräder
"Damen Hollandrad ALTEC ``Dutch`` 28 Zoll, 3 Gang, 57 cm  /grün/","369,00 EUR",Hollandräder
"Damen Hollandrad ALTEC ``Dutch`` 28 Zoll, 3 Gang, 50 cm  /schwarz-matt/","369,00 EUR",Hollandräder
"Hollandrad Altec ``DUTCH`` 28 Zoll, 3 Gang, Rh. 57 cm Damenrad Fahrrad Transportrad /pink/","369,00 EUR",Hollandräder
"Damen Hollandrad ALTEC ``Dutch`` 28 Zoll, 3 Gang, 57 cm  /schwarz-matt/","369,00 EUR",Hollandräder
"Damen Hollandrad ALTEC ``Dutch`` 28 Zoll, 3 Gang, 53 cm  /ocean/","369,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic Plus`` 26 Zoll, 48 cm 3 Gang /armee grün/","369,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 26 Zoll, 48 cm (schw-matt) Model 2020","379,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 26 Zoll, 48 cm, 1 Gang (pistazie) Modell 2020","379,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 26 Zoll, 48 cm, 1 Gang (flamingo) Modell 2020","379,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 26 Zoll, 48 cm, 1 Gang (sand) Modell 2020","379,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 26 Zoll, 48 cm, 1 Gang (blau matt) Modell 2020","379,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 26 Zoll, 48 cm, 1 Gang (türkis) Model 2020","379,00 EUR",Hollandräder
Damen Hollandrad ``Den Haag`` Rh.: 50 cm ND Shimano NEXUS 3 Gang RÜCKTRITT /grau hell mit pinke Felgen/,"379,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 26 Zoll, 48 cm, 1 Gang (sand) Modell 2020","379,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 26 Zoll, 48 cm, 1 Gang (blau matt) Modell 2020","379,00 EUR",Hollandräder
"Hollandrad Altec ``URBAN`` 28 Zoll, 3 Gang, Rh. 50 cm Damenrad Fahrrad Transportrad /blau/","389,00 EUR",Hollandräder
"Damen Hollandrad Altec ``DUTCH`` 28 Zoll, 57cm 3 Gang /jeans blau/","399,00 EUR",Hollandräder
"DAMEN Fahrrad Salutoni ""Excellent"" 28 `` 3 G, Rh.: 50 cm Rücktritt /bordeaux/","399,00 EUR",Hollandräder
"Hollandrad Altec ``DUTCH`` 28 Zoll, 3 Gang, Rh. 57 cm Damenrad Fahrrad Transportrad /lavender/","399,00 EUR",Hollandräder
"Hollandrad "" Godewind "" Nostalgierad Nabendynamo 3 Gg. schwarz, 26 Zoll, 45 cm","399,00 EUR",Hollandräder
"Hollandrad "" Godewind "" Nostalgierad Nabendynamo 3 Gg. schwarz, 28 Zoll, 50cm","399,00 EUR",Hollandräder
"Damen Hollandrad ALTEC ``Dutch`` 28 Zoll, 3 Gang, 50 cm  /jeans blau/","399,00 EUR",Hollandräder
"Hollandrad Marke POPAL ``Nera 3`` 28 Zoll 3 Gang, 57 cm /schw/","399,00 EUR",Hollandräder
"Damen Hollandrad ALTEC ``Dutch`` 28 Zoll, 3 Gang, 57 cm  /jeans blau/","399,00 EUR",Hollandräder
"Damen Hollandrad Avalon ``PICK UP`` 28 Zoll, 3 Gang, Rh 57cm /schwarz/","399,00 EUR",Hollandräder
"Damen Hollandrad ALTEC ``RETRO`` 28 Zoll, 3 Gang, 57cm  Rollenbremse /jeans blau/","399,00 EUR",Hollandräder
"Damen Hollandrad ALTEC ``Vintage`` 28 Zoll, alu, 3 Gang, 57cm  /jeans blau/","399,00 EUR",Hollandräder
"Hollandrad "" Godewind "" Nostalgierad Nabendynamo 3 Gg. schwarz, 28 Zoll, 55 cm","399,00 EUR",Hollandräder
"Damen Hollandrad ALTEC ``RETRO`` 28 Zoll, 3 Gang, 50 cm  Rollenbremse /jeans blau/","399,00 EUR",Hollandräder
"Damen Hollandrad Avalon ``PICK UP`` 28 Zoll, 3 Gang, Rh 50cm /schwarz/","399,00 EUR",Hollandräder
Hollandrad Popal ``Easton`` 28 Zoll 1 Gang /jeans blau/,"409,00 EUR",Hollandräder
"DAMEN Fahrrad Popal ``Daily Dutch Basic+`` 26`` 3 G, Rh.: 46cm Rücktritt /Flamingo/","429,00 EUR",Hollandräder
"DAMEN Fahrrad Popal ``Daily Dutch Basic+`` 26`` 3 G, Rücktritt /petrol blau/ Model 2020","429,00 EUR",Hollandräder
"DAMEN Fahrrad Popal ``Daily Dutch Basic+`` 26`` 3 G, Rücktritt /sand/","429,00 EUR",Hollandräder
"DAMEN Fahrrad Popal ``Daily Dutch Basic+`` 26`` 3 G, Rh.: 46cm Rücktritt /türkis/","429,00 EUR",Hollandräder
"Damen Hollandrad ALTEC ``Dutch`` 28 Zoll, 3 Gang, 57 cm  /olive/","429,00 EUR",Hollandräder
"DAMEN Fahrrad Popal ``Daily Dutch Basic+`` 26`` 3 G, Rücktritt /pistazie/","429,00 EUR",Hollandräder
"DAMEN Fahrrad Popal ``Daily Dutch Basic+`` 26`` 3 G, Rücktritt /blau matt/","429,00 EUR",Hollandräder
"DAMEN Fahrrad Popal ``Daily Dutch Basic+`` 26`` 3 G, Rücktritt /schwarz matt/","429,00 EUR",Hollandräder
"Damen Hollandrad ALTEC ``Dutch`` 28 Zoll, 3 Gang, 57cm  /mint grün/","429,00 EUR",Hollandräder
"Damen Hollandrad ALTEC ``Dutch`` 28 Zoll, 3 Gang, 50 cm  /mint grün/","429,00 EUR",Hollandräder
"Damen Hollandrad ALTEC ``Dutch`` 28 Zoll, 3 Gang, 57cm  /metal black/","429,00 EUR",Hollandräder
"Damen Hollandrad ALTEC ``Dutch`` 28 Zoll, 3 Gang, 50 cm  /olive/","429,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 57 cm /petrol blau/ Modell 2020","439,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 57 cm /Göteborg Blue/","439,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 57 cm /army/","439,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 57 cm /Forest Green/","439,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 57 cm /Cave Green/","439,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 57 cm /Oak Red/ Modell 2020","439,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 57 cm /rose/ Modell 2020","439,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 50 cm /zalm/","439,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 57 cm /schwarz-matt/","439,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 50 cm /schwarz-matt/ Modell 2020","439,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 50 cm /petrol blau/ Modell 2020","439,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 50 cm /Göteborg Blue/","439,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 50 cm /army/","439,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 50 cm /Forest Green/","439,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 50 cm /Cave Green/ Modell 2020","439,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 50 cm /rose/ Modell 2020","439,00 EUR",Hollandräder
"Hollandrad Popal ``Daily Dutch Basic`` 28 Zoll, 57 cm /zalm/","439,00 EUR",Hollandräder
"Alu Damen Hollandrad Avalon ``Cargo`` 28``, 3 Gang, 50 cm, Rücktritt, /blau jeans matt/","449,99 EUR",Hollandräder
"ALU HERREN Hollandrad Avalon ``CARGO`` 28``, 3 Gang, Rh.: 53 cm /blau matt/","449,99 EUR",Hollandräder
"Alu Damen Hollandrad Avalon ``Cargo`` 28 Zoll, 3 Gang, Rh 50cm, Rücktritt /türkis matt/","449,99 EUR",Hollandräder
"Alu Damen Hollandrad Avalon ``Cargo`` 28``, 3 Gang, 50 cm, Rücktritt, /schwarz matt/","449,99 EUR",Hollandräder
"Alu Damen Hollandrad Avalon ``Cargo`` 28``, 3 Gang, Rücktritt, 57 cm, /schwarz matt/","449,99 EUR",Hollandräder
"ALU HERREN Hollandrad Avalon ``CARGO`` 28``, 3 Gang, Rh.: 59 cm /blau matt/","449,99 EUR",Hollandräder
"ALU HERREN Hollandrad Avalon ``CARGO`` 28``, 3 Gang, Rh.: 53 cm Rücktritt /schwarz matt/","449,99 EUR",Hollandräder
"Alu Damen Hollandrad Avalon ``Cargo`` 28``, 3 Gang, 57 cm, Rücktritt, /blau jeans matt/","449,99 EUR",Hollandräder
Hollandrad Popal ``Daily Dutch Basic Plus`` 28 Zoll Rh.: 57 cm /Petrol Blue/,"469,00 EUR",Hollandräder
Hollandrad Popal ``Daily Dutch Basic Plus`` 28 Zoll Rh.: 50 cm /Forest Green/,"469,00 EUR",Hollandräder
Hollandrad Popal ``Daily Dutch Basic Plus`` 28 Zoll Rh.: 50 cm /schwarz-matt/,"469,00 EUR",Hollandräder
Hollandrad Popal ``Daily Dutch Basic Plus`` 28 Zoll Rh.: 50 cm /Göteborg Blue/,"469,00 EUR",Hollandräder
Hollandrad Popal ``Daily Dutch Basic Plus`` 28 Zoll Rh.: 50 cm /Zalm/,"469,00 EUR",Hollandräder
Hollandrad Popal ``Daily Dutch Basic Plus`` 28 Zoll Rh.: 57 cm /Forest Green/,"469,00 EUR",Hollandräder
Hollandrad Popal ``Daily Dutch Basic Plus`` 28 Zoll Rh.: 50 cm /Oak Red/,"469,00 EUR",Hollandräder
"Herren Hollandrad Popal ""Daily Dutch Basic Plus"" 3 Gang 28 Zoll, 57 cm Rücktritt /schwarz-matt/","469,00 EUR",Hollandräder
Hollandrad Popal ``Daily Dutch Basic Plus`` 28 Zoll Rh.: 50 cm /Petrol Blue/,"469,00 EUR",Hollandräder
Hollandrad Popal ``Daily Dutch Basic Plus`` 28 Zoll Rh.: 57 cm /schwarz-matt/,"469,00 EUR",Hollandräder
Hollandrad Popal ``Daily Dutch Basic Plus`` 28 Zoll Rh.: 57cm /Zalm/,"469,00 EUR",Hollandräder
Hollandrad Popal ``Daily Dutch Basic Plus`` 28 Zoll Rh.: 57 cm /Göteborg Blue/,"469,00 EUR",Hollandräder
Hollandrad Popal ``Daily Dutch Basic Plus`` 28 Zoll Rh.: 57 cm /Oak Red/,"469,00 EUR",Hollandräder
Hollandrad Popal ``Daily Dutch Basic Plus`` 28 Zoll Rh.: 57 cm /Army Green/,"469,00 EUR",Hollandräder
Hollandrad Popal ``Daily Dutch Basic Plus`` 28 Zoll Rh.: 50 cm /Army Green/,"469,00 EUR",Hollandräder
"ALU HERREN Hollandrad Avalon ``CARGO`` 28`` 3 Gang, Rh.: 59 cm Rollenbremse /schwarz matt/","499,99 EUR",Hollandräder
"ALU HERREN Hollandrad Avalon ``CARGO`` 28`` 3 Gang, Rh.: 53 cm Rollenbremse /schwarz matt/","499,99 EUR",Hollandräder
"ALU Damen Hollandrad Avalon ``CARGO`` 28`` 3 Gang, Rh.: 57 cm Rollenbremse /schwarz matt/","499,99 EUR",Hollandräder
"ALU Damen Hollandrad Avalon ``CARGO`` 28`` 3 Gang, Rh.: 50 cm Rollenbremse /schwarz matt/","499,99 EUR",Hollandräder
"ALU HERREN Hollandrad Avalon ``CARGO`` 28``, 3 Gang, Rh.: 59 cm Rücktritt /schwarz matt/","499,99 EUR",Hollandräder
"Damen  Hollandrad Popal  ""County Roll+"" 3 Gang  28 Zoll, 50 cm,  Freilauf /schwarz/","529,00 EUR",Hollandräder
"Alu Damen Hollandrad Avalon ``Elegance Mamma `` 28 Zoll, 7 Gang, 54cm /weiß/","559,00 EUR",Hollandräder
"Alu Herren Hollandrad Popal Daily Dutch ``Prestige`` 3 Gang 28 Zoll, 50 cm Rollenbremse /grün/","569,00 EUR",Hollandräder
"Hollandrad Nostalgierad Columbus ""Deluxe"" Damen 3-Gang ND - 28"", RH 55 cm, schwarz","599,00 EUR",Hollandräder
"ALU Damen Hollandrad Avalon ``CARGO`` 28`` 7 Gang, Rh.: 50 cm Rollenbremse /schwarz matt/","599,99 EUR",Hollandräder
"ALU Damen Hollandrad Avalon ``CARGO`` 28`` 7 Gang, Rh.: 57 cm Rollenbremse /schwarz matt/","599,99 EUR",Hollandräder
"ALU HERREN Hollandrad Avalon ``CARGO`` 28`` 7 Gang, Rh.: 59 cm Rollenbremse /schwarz matt/","599,99 EUR",Hollandräder
"Alu Herren Hollandrad Popal Daily Dutch ``Prestige`` Nabendynamo 7 Gang 28 Zoll, 50 cm Rollenbremse /grün/","629,00 EUR",Hollandräder
"Herren Hollandrad Green´s ""York"" 28 Zoll, Rh: 59cm, ND 7Gänge, Rollenbremse /black matt/","679,95 EUR",Hollandräder
"Damen E-Hollandrad Avalon ""BASE"" Alurahme 28 Zoll, 3 Gang, Rh 50cm, Rollerbrake 36 V  10,4 Ah Akku / 360 Wh /schwarz matt/","1.299,00 EUR",Hollandräder
"Damen E-Hollandrad Avalon ""BASE"" Alurahme 28 Zoll, 3 Gang, Rh 56cm, Rollerbrake 36 V  10,4 Ah Akku / 360 Wh /blau matt metalic/","1.299,00 EUR",Hollandräder
"Damen E-Hollandrad Avalon ""BASE"" Alurahme 28 Zoll, 3 Gang, Rh 56cm, Rollerbrake 36 V  10,4 Ah Akku / 360 Wh /schwarz matt/","1.299,00 EUR",Hollandräder
"E-Hollandrad Vogue ``Elite`` 28 Zoll, 3 Gang, Rh.: 57cm /schwarz/ 13Ah 468Wh LG","1.349,00 EUR",Hollandräder
"E-Classic Hollandrad Avalon ""Köhlman"" Alu Damen  transport 28 Zoll, 7 Gang, Rh 49cm, Rollerbrake /blau matt/","1.399,00 EUR",Hollandräder
"E-Classic Hollandrad Avalon ""Köhlman"" Alu Damen  transport 28 Zoll, 7 Gang, Rh 57cm, Rollerbrake /grau matt/","1.399,00 EUR",Hollandräder
"E-Classic Hollandrad Avalon ""Köhlman"" Alu Damen  transport 28 Zoll, 7 Gang, Rh 57cm, Rollerbrake /blau matt/","1.399,00 EUR",Hollandräder
"E-Classic Hollandrad Avalon ""Köhlman"" Alu Damen  transport 28 Zoll, 7 Gang, Rh 49cm, Rollerbrake /grau matt/","1.399,00 EUR",Hollandräder
"E-Hollandrad Avalon ""CARGO"" Alu Damen  transport 28 Zoll, 7 Gang, Rh 50cm, Rollerbrake 36 V / 13 Ah Batterie / 470 Wh /schw matt/","1.499,00 EUR",Hollandräder
